1729950878.570493391: PING 192.168.6.14 (192.168.6.14) 56(84) bytes of data.
1729950892.771269810: 64 bytes from 192.168.6.14: icmp_seq=142 ttl=64 time=6.13 ms
1729950892.871061693: 64 bytes from 192.168.6.14: icmp_seq=143 ttl=64 time=6.38 ms
1729950892.972944376: 64 bytes from 192.168.6.14: icmp_seq=144 ttl=64 time=7.44 ms
1729950893.075628266: 64 bytes from 192.168.6.14: icmp_seq=145 ttl=64 time=8.87 ms
1729950893.178706908: 64 bytes from 192.168.6.14: icmp_seq=146 ttl=64 time=11.6 ms
1729950893.278455063: 64 bytes from 192.168.6.14: icmp_seq=147 ttl=64 time=10.8 ms
1729950893.381021841: 64 bytes from 192.168.6.14: icmp_seq=148 ttl=64 time=11.6 ms
1729950893.483395238: 64 bytes from 192.168.6.14: icmp_seq=149 ttl=64 time=13.3 ms
1729950893.581373601: 64 bytes from 192.168.6.14: icmp_seq=150 ttl=64 time=10.7 ms
1729950893.681507909: 64 bytes from 192.168.6.14: icmp_seq=151 ttl=64 time=9.86 ms
1729950893.781200490: 64 bytes from 192.168.6.14: icmp_seq=152 ttl=64 time=8.58 ms
1729950893.879364394: 64 bytes from 192.168.6.14: icmp_seq=153 ttl=64 time=5.66 ms
1729950893.985016378: 64 bytes from 192.168.6.14: icmp_seq=154 ttl=64 time=10.7 ms
1729950894.081694910: 64 bytes from 192.168.6.14: icmp_seq=155 ttl=64 time=5.81 ms
1729950894.184335314: 64 bytes from 192.168.6.14: icmp_seq=156 ttl=64 time=7.78 ms
1729950894.283783552: 64 bytes from 192.168.6.14: icmp_seq=157 ttl=64 time=5.64 ms
1729950894.384943790: 64 bytes from 192.168.6.14: icmp_seq=158 ttl=64 time=5.59 ms
1729950894.485243279: 64 bytes from 192.168.6.14: icmp_seq=159 ttl=64 time=5.05 ms
1729950894.585918998: 64 bytes from 192.168.6.14: icmp_seq=160 ttl=64 time=6.11 ms
1729950894.687040950: 64 bytes from 192.168.6.14: icmp_seq=161 ttl=64 time=5.35 ms
1729950894.787614528: 64 bytes from 192.168.6.14: icmp_seq=162 ttl=64 time=5.91 ms
