1729950878.597944758: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1729950891.378106575: 64 bytes from 192.168.6.21: icmp_seq=128 ttl=63 time=2.26 ms
1729950891.478395693: 64 bytes from 192.168.6.21: icmp_seq=129 ttl=63 time=2.51 ms
1729950891.580159472: 64 bytes from 192.168.6.21: icmp_seq=130 ttl=63 time=2.77 ms
1729950891.679483397: 64 bytes from 192.168.6.21: icmp_seq=131 ttl=63 time=1.46 ms
1729950891.783753560: 64 bytes from 192.168.6.21: icmp_seq=132 ttl=63 time=4.95 ms
1729950891.880414679: 64 bytes from 192.168.6.21: icmp_seq=133 ttl=63 time=1.58 ms
1729950891.982430089: 64 bytes from 192.168.6.21: icmp_seq=134 ttl=63 time=2.47 ms
1729950892.084466299: 64 bytes from 192.168.6.21: icmp_seq=135 ttl=63 time=3.30 ms
1729950892.184407219: 64 bytes from 192.168.6.21: icmp_seq=136 ttl=63 time=3.36 ms
1729950892.287481501: 64 bytes from 192.168.6.21: icmp_seq=137 ttl=63 time=5.64 ms
1729950892.384127014: 64 bytes from 192.168.6.21: icmp_seq=138 ttl=63 time=1.71 ms
1729950892.486165582: 64 bytes from 192.168.6.21: icmp_seq=139 ttl=63 time=2.36 ms
1729950892.587248109: 64 bytes from 192.168.6.21: icmp_seq=140 ttl=63 time=2.71 ms
1729950892.694896852: 64 bytes from 192.168.6.21: icmp_seq=141 ttl=63 time=8.81 ms
1729950892.795273906: 64 bytes from 192.168.6.21: icmp_seq=142 ttl=63 time=7.86 ms
1729950892.890129121: 64 bytes from 192.168.6.21: icmp_seq=143 ttl=63 time=2.89 ms
1729950892.993166840: 64 bytes from 192.168.6.21: icmp_seq=144 ttl=63 time=5.51 ms
1729950893.096055805: 64 bytes from 192.168.6.21: icmp_seq=145 ttl=63 time=7.56 ms
1729950893.211887047: 64 bytes from 192.168.6.21: icmp_seq=146 ttl=63 time=22.6 ms
1729950893.301783213: 64 bytes from 192.168.6.21: icmp_seq=147 ttl=63 time=11.4 ms
1729950893.401261275: 64 bytes from 192.168.6.21: icmp_seq=148 ttl=63 time=10.6 ms
1729950893.502405039: 64 bytes from 192.168.6.21: icmp_seq=149 ttl=63 time=11.0 ms
1729950893.600155655: 64 bytes from 192.168.6.21: icmp_seq=150 ttl=63 time=8.24 ms
1729950893.708052361: 64 bytes from 192.168.6.21: icmp_seq=151 ttl=63 time=15.6 ms
1729950893.800681862: 64 bytes from 192.168.6.21: icmp_seq=152 ttl=63 time=7.19 ms
1729950893.899181833: 64 bytes from 192.168.6.21: icmp_seq=153 ttl=63 time=5.50 ms
1729950894.014513123: 64 bytes from 192.168.6.21: icmp_seq=154 ttl=63 time=20.1 ms
1729950894.103427800: 64 bytes from 192.168.6.21: icmp_seq=155 ttl=63 time=9.42 ms
1729950894.210038205: 64 bytes from 192.168.6.21: icmp_seq=156 ttl=63 time=15.6 ms
1729950894.305278055: 64 bytes from 192.168.6.21: icmp_seq=157 ttl=63 time=10.1 ms
1729950894.406584665: 64 bytes from 192.168.6.21: icmp_seq=158 ttl=63 time=10.6 ms
1729950894.507440556: 64 bytes from 192.168.6.21: icmp_seq=159 ttl=63 time=10.4 ms
1729950894.615240425: 64 bytes from 192.168.6.21: icmp_seq=160 ttl=63 time=17.6 ms
1729950894.713896421: 64 bytes from 192.168.6.21: icmp_seq=161 ttl=63 time=14.9 ms
1729950894.808903776: 64 bytes from 192.168.6.21: icmp_seq=162 ttl=63 time=9.88 ms
1729950894.901802933: 64 bytes from 192.168.6.21: icmp_seq=163 ttl=63 time=2.47 ms
1729950895.002555393: 64 bytes from 192.168.6.21: icmp_seq=164 ttl=63 time=2.95 ms
1729950895.102202812: 64 bytes from 192.168.6.21: icmp_seq=165 ttl=63 time=2.59 ms
1729950895.207028143: 64 bytes from 192.168.6.21: icmp_seq=166 ttl=63 time=5.96 ms
1729950895.302832977: 64 bytes from 192.168.6.21: icmp_seq=167 ttl=63 time=2.16 ms
1729950895.403465549: 64 bytes from 192.168.6.21: icmp_seq=168 ttl=63 time=2.18 ms
1729950895.507422974: 64 bytes from 192.168.6.21: icmp_seq=169 ttl=63 time=5.33 ms
1729950895.607909137: 64 bytes from 192.168.6.21: icmp_seq=170 ttl=63 time=5.06 ms
1729950895.704456744: 64 bytes from 192.168.6.21: icmp_seq=171 ttl=63 time=1.78 ms
1729950895.806395536: 64 bytes from 192.168.6.21: icmp_seq=172 ttl=63 time=2.54 ms
1729950895.907186075: 64 bytes from 192.168.6.21: icmp_seq=173 ttl=63 time=2.85 ms
1729950896.017121379: 64 bytes from 192.168.6.21: icmp_seq=174 ttl=63 time=10.8 ms
1729950896.108392859: 64 bytes from 192.168.6.21: icmp_seq=175 ttl=63 time=2.16 ms
1729950896.218820542: 64 bytes from 192.168.6.21: icmp_seq=176 ttl=63 time=11.7 ms
1729950896.311959412: 64 bytes from 192.168.6.21: icmp_seq=177 ttl=63 time=3.13 ms
1729950896.413290051: 64 bytes from 192.168.6.21: icmp_seq=178 ttl=63 time=4.14 ms
1729950896.520926778: 64 bytes from 192.168.6.21: icmp_seq=179 ttl=63 time=11.2 ms
1729950896.613065393: 64 bytes from 192.168.6.21: icmp_seq=180 ttl=63 time=3.32 ms
1729950896.713283355: 64 bytes from 192.168.6.21: icmp_seq=181 ttl=63 time=2.44 ms
1729950896.814693181: 64 bytes from 192.168.6.21: icmp_seq=182 ttl=63 time=3.44 ms
1729950896.914348218: 64 bytes from 192.168.6.21: icmp_seq=183 ttl=63 time=2.68 ms
1729950897.024875582: 64 bytes from 192.168.6.21: icmp_seq=184 ttl=63 time=12.0 ms
1729950897.115907630: 64 bytes from 192.168.6.21: icmp_seq=185 ttl=63 time=2.86 ms
1729950897.216200923: 64 bytes from 192.168.6.21: icmp_seq=186 ttl=63 time=1.89 ms
1729950897.318607755: 64 bytes from 192.168.6.21: icmp_seq=187 ttl=63 time=3.60 ms
1729950897.420405247: 64 bytes from 192.168.6.21: icmp_seq=188 ttl=63 time=4.68 ms
1729950897.520098568: 64 bytes from 192.168.6.21: icmp_seq=189 ttl=63 time=3.83 ms
1729950897.619413256: 64 bytes from 192.168.6.21: icmp_seq=190 ttl=63 time=2.07 ms
1729950897.718967872: 64 bytes from 192.168.6.21: icmp_seq=191 ttl=63 time=1.52 ms
1729950897.823735801: 64 bytes from 192.168.6.21: icmp_seq=192 ttl=63 time=4.83 ms
1729950897.921633393: 64 bytes from 192.168.6.21: icmp_seq=193 ttl=63 time=2.15 ms
1729950898.024751369: 64 bytes from 192.168.6.21: icmp_seq=194 ttl=63 time=4.13 ms
1729950898.123575707: 64 bytes from 192.168.6.21: icmp_seq=195 ttl=63 time=3.32 ms
1729950898.223165921: 64 bytes from 192.168.6.21: icmp_seq=196 ttl=63 time=2.04 ms
1729950898.329604832: 64 bytes from 192.168.6.21: icmp_seq=197 ttl=63 time=7.98 ms
1729950898.424575921: 64 bytes from 192.168.6.21: icmp_seq=198 ttl=63 time=3.38 ms
1729950898.530295272: 64 bytes from 192.168.6.21: icmp_seq=199 ttl=63 time=8.07 ms
1729950898.626885742: 64 bytes from 192.168.6.21: icmp_seq=200 ttl=63 time=4.33 ms
1729950898.728880997: 64 bytes from 192.168.6.21: icmp_seq=201 ttl=63 time=5.21 ms
1729950898.835052115: 64 bytes from 192.168.6.21: icmp_seq=202 ttl=63 time=12.0 ms
1729950898.932011680: 64 bytes from 192.168.6.21: icmp_seq=203 ttl=63 time=8.10 ms
1729950899.035791923: 64 bytes from 192.168.6.21: icmp_seq=204 ttl=63 time=11.7 ms
1729950899.135080651: 64 bytes from 192.168.6.21: icmp_seq=205 ttl=63 time=10.3 ms
1729950899.238088457: 64 bytes from 192.168.6.21: icmp_seq=206 ttl=63 time=12.9 ms
1729950899.342115904: 64 bytes from 192.168.6.21: icmp_seq=207 ttl=63 time=15.8 ms
1729950899.440448981: 64 bytes from 192.168.6.21: icmp_seq=208 ttl=63 time=14.1 ms
1729950899.543385017: 64 bytes from 192.168.6.21: icmp_seq=209 ttl=63 time=15.9 ms
1729950899.638540870: 64 bytes from 192.168.6.21: icmp_seq=210 ttl=63 time=10.7 ms
1729950899.738688032: 64 bytes from 192.168.6.21: icmp_seq=211 ttl=63 time=10.0 ms
